tic_id,best_period_days,transit_depth_ppm,transit_duration_hours,t0,bls_power,snr,secondary_eclipse_depth,is_eb_secondary_flag,odd_even_ratio,is_eb_oddeven_flag,above_snr_threshold,dip_area,autocorr_lag,autocorr_peak,fft_dominant_freq,fft_dominant_power,dip_symmetry,flux_mean,flux_std,flux_skew,flux_kurtosis,flux_range,flux_pct_below_median,flux_p5,flux_p95,ls_period_days,ls_power,ls_false_alarm_prob,period_agreement_pct,methods_agree,target_tmag,n_neighbors_21arcsec,bright_neighbors,crowding_risk
150428135,14.822416,2146.35,1.2,1340.085495,0.0001,7.66,0.0,0,1.0,0,1,12.04678,1483.0,0.0286,117.444203,0.4483,0.9362,0.9999968888697678,0.0016512261528636,0.0421502757743363,0.0043438381223368,0.0129540094767626,0.4969637288691941,0.9972975601692832,1.0027204793516131,3.875505,0.0002,1.0,73.85375636468441,0,10.91,2,0,LOW
25155310,3.288695,4910.19,2.88,1327.521626,0.0059,82.55,192.02,0,0.9508,0,1,11.390272,10.0,0.2616,3.741405,4.9066,0.9966,0.999907706238014,0.0015516168009038,-0.7141661696705045,1.7856425121767572,0.0123774357229302,0.4991424619640387,0.9974344672531902,1.0022169898915665,0.547818,0.0129,0.0,83.34238961046859,0,10.61,0,0,LOW
261136679,6.268523,181.35,2.88,1325.50196,0.0,30.84,1.45,0,1.0797,0,1,0.908417,10.0,0.0585,5.087477,0.0066,0.9949,0.9999980291629624,0.0001248839564131,-0.0958333838023223,0.4970859623125832,0.0010897791616528,0.4987939918868545,0.9997921842546552,1.000198521009947,0.570215,0.0015,0.126354,90.90351905863628,0,5.11,0,0,LOW
270341214,14.760696,2651.96,1.2,1333.277671,0.0,15.81,0.0,0,2.1171,1,1,3.937331,534.0,0.0264,255.782085,0.057,1.0,1.0000002200697529,0.0005554733137298,-0.0141039947787995,0.8863510116551465,0.0067612077480362,0.4980066445182724,0.9991077417924552,1.0009076916405484,1.080879,0.0004,1.0,92.67731684197004,0,8.88,1,0,LOW
307210830,3.690719,1458.8,1.2,1356.202411,0.0002,27.62,0.0,0,1.1208,0,1,5.596819,10.0,0.0488,5.853972,0.2118,0.9427,0.9999907420735652,0.0007964682967946,-0.0674918413833573,0.2361192536233018,0.0063712210741019,0.4965289632411517,0.9986840358096744,1.0012808984577155,0.924446,0.0009,1.0,74.95214347123148,0,9.41,1,0,LOW
